iter	Passed	Remaining
0	52	50044
1	55	26525
2	58	18483
3	61	14528
4	64	12172
5	66	10576
6	69	9433
7	72	8609
8	75	7977
9	77	7343
10	80	6902
11	83	6540
12	84	6161
13	87	5908
14	90	5668
15	93	5487
16	94	5193
17	94	4947
18	98	4844
19	101	4736
20	104	4634
21	107	4554
22	108	4396
23	110	4275
24	113	4210
25	115	4145
26	118	4073
27	121	4016
28	123	3960
29	126	3916
30	129	3868
31	132	3817
32	134	3770
33	137	3738
34	140	3702
35	143	3676
36	146	3649
37	149	3612
38	152	3583
39	155	3561
40	157	3505
41	158	3448
42	161	3425
43	161	3355
44	164	3333
45	167	3312
46	170	3291
47	171	3241
48	174	3221
49	175	3179
50	178	3164
51	181	3147
52	183	3131
53	186	3113
54	189	3099
55	191	3081
56	194	3067
57	195	3020
58	197	3004
59	200	2989
60	203	2979
61	204	2948
62	207	2934
63	209	2926
64	212	2916
65	213	2877
66	216	2867
67	216	2829
68	219	2821
69	221	2801
70	224	2794
71	226	2785
72	230	2783
73	232	2775
74	235	2764
75	236	2734
76	239	2729
77	241	2720
78	244	2713
79	247	2708
80	250	2704
81	253	2699
82	256	2692
83	258	2682
84	260	2672
85	263	2665
86	264	2641
87	267	2633
88	269	2627
89	272	2623
90	273	2595
91	275	2587
92	276	2562
93	276	2535
94	277	2512
95	279	2507
96	283	2508
97	286	2504
98	289	2502
99	291	2495
100	294	2492
101	295	2472
102	298	2469
103	301	2470
104	305	2479
105	308	2470
106	311	2472
107	312	2453
108	315	2450
109	318	2446
110	320	2441
111	323	2437
112	324	2419
113	325	2407
114	328	2404
115	330	2396
116	333	2392
117	336	2390
118	337	2374
119	340	2368
120	341	2356
121	344	2354
122	346	2349
123	349	2346
124	350	2333
125	351	2316
126	354	2312
127	356	2308
128	359	2307
129	362	2305
130	365	2301
131	365	2283
132	368	2281
133	371	2278
134	374	2275
135	377	2274
136	377	2257
137	380	2256
138	384	2259
139	387	2256
140	390	2257
141	393	2256
142	396	2255
143	399	2252
144	402	2249
145	405	2248
146	408	2245
147	410	2242
148	413	2240
149	416	2237
150	419	2235
151	421	2231
152	424	2230
153	427	2227
154	430	2225
155	433	2222
156	436	2219
157	438	2215
158	441	2213
159	444	2211
160	447	2209
161	450	2206
162	452	2203
163	455	2199
164	457	2195
165	460	2193
166	463	2190
167	466	2188
168	469	2186
169	472	2184
170	475	2180
171	478	2179
172	480	2176
173	483	2174
174	486	2173
175	490	2171
176	492	2168
177	495	2167
178	498	2165
179	502	2164
180	505	2162
181	507	2160
182	510	2156
183	513	2153
184	515	2150
185	518	2147
186	521	2144
187	524	2141
188	527	2139
189	530	2136
190	530	2126
191	533	2124
192	536	2121
193	539	2119
194	542	2115
195	544	2112
196	547	2109
197	550	2106
198	553	2104
199	556	2102
200	558	2098
201	561	2095
202	564	2092
203	567	2091
204	570	2089
205	573	2087
206	575	2084
207	578	2080
208	581	2078
209	584	2075
210	587	2073
211	590	2071
212	592	2068
213	595	2065
214	598	2062
215	601	2059
216	603	2056
217	606	2053
218	609	2050
219	612	2047
220	614	2044
221	617	2041
222	620	2038
223	622	2035
224	625	2032
225	628	2028
226	630	2025
227	633	2021
228	635	2018
229	638	2015
230	641	2013
231	644	2010
232	646	2007
233	649	2004
234	652	2001
235	654	1998
236	657	1995
237	660	1992
238	663	1989
239	665	1985
240	668	1983
241	671	1980
242	673	1977
243	676	1974
244	679	1971
245	682	1969
246	684	1965
247	687	1962
248	690	1960
249	693	1957
250	695	1953
251	698	1950
252	701	1947
253	703	1944
254	706	1942
255	709	1940
256	712	1937
257	715	1934
258	717	1931
259	720	1929
260	723	1926
261	726	1923
262	728	1920
263	731	1917
264	734	1914
265	737	1912
266	740	1910
267	743	1908
268	745	1904
269	748	1902
270	751	1899
271	754	1896
272	756	1893
273	759	1890
274	762	1888
275	765	1885
276	768	1883
277	771	1881
278	774	1878
279	777	1876
280	780	1874
281	783	1871
282	785	1869
283	788	1866
284	791	1863
285	794	1861
286	797	1858
287	800	1856
288	802	1853
289	805	1850
290	808	1848
291	811	1845
292	814	1843
293	817	1840
294	820	1837
295	822	1835
296	825	1831
297	828	1829
298	831	1827
299	834	1824
300	837	1821
301	840	1819
302	842	1816
303	845	1813
304	848	1811
305	851	1808
306	854	1806
307	857	1803
308	860	1801
309	863	1798
310	865	1795
311	868	1792
312	871	1790
313	874	1788
314	877	1785
315	880	1782
316	882	1779
317	885	1777
318	888	1774
319	891	1771
320	894	1769
321	897	1766
322	899	1763
323	902	1760
324	905	1758
325	908	1755
326	911	1752
327	914	1750
328	917	1747
329	920	1745
330	923	1743
331	926	1740
332	929	1738
333	932	1736
334	934	1733
335	937	1730
336	940	1727
337	943	1724
338	946	1722
339	949	1719
340	951	1716
341	955	1714
342	957	1711
343	960	1708
344	963	1705
345	965	1703
346	968	1699
347	971	1696
348	973	1693
349	976	1691
350	979	1688
351	982	1685
352	985	1682
353	988	1680
354	991	1677
355	993	1675
356	997	1672
357	999	1670
358	1002	1667
359	1005	1664
360	1008	1661
361	1010	1658
362	1013	1656
363	1016	1653
364	1019	1651
365	1022	1648
366	1025	1645
367	1028	1643
368	1031	1640
369	1034	1637
370	1037	1635
371	1040	1633
372	1043	1630
373	1046	1628
374	1049	1625
375	1052	1623
376	1055	1620
377	1058	1617
378	1061	1615
379	1063	1612
380	1066	1609
381	1069	1607
382	1072	1604
383	1075	1602
384	1078	1599
385	1081	1596
386	1084	1594
387	1087	1591
388	1090	1588
389	1092	1586
390	1096	1585
