iter	RMSE
0	0.3219737633
1	0.3191444199
2	0.3165254762
3	0.3138279791
4	0.3112116002
5	0.3086556309
6	0.3058955685
7	0.3033914474
8	0.3008655611
9	0.2983936312
10	0.295953134
11	0.2935111556
12	0.2910829057
13	0.2887421898
14	0.2865469836
15	0.2842185323
16	0.2819227849
17	0.2797468561
18	0.2776042252
19	0.2753553175
20	0.2734643413
21	0.2713816512
22	0.2693560073
23	0.2673272525
24	0.2654185626
25	0.2634645285
26	0.2615700778
27	0.259732586
28	0.2579094167
29	0.2559447738
30	0.2541597694
31	0.2523167374
32	0.2508173183
33	0.249102695
34	0.2473255455
35	0.2456059387
36	0.2440595651
37	0.2425158287
38	0.240866498
39	0.2392179874
40	0.2376479699
41	0.2360035411
42	0.2344283086
43	0.2329251786
44	0.231443113
45	0.2300301919
46	0.2285935739
47	0.2272025026
48	0.2258613991
49	0.2245454726
50	0.2231475646
51	0.2218207338
52	0.2204658847
53	0.2192302779
54	0.2179063977
55	0.2166624261
56	0.2154606227
57	0.2142111928
58	0.2130016778
59	0.2118828548
60	0.2108330449
61	0.2097316666
62	0.2085114208
63	0.2074286649
64	0.2062959139
65	0.2051518939
66	0.2040082585
67	0.2028735243
68	0.2017054529
69	0.2006123203
70	0.1995315333
71	0.1984677367
72	0.1973585579
73	0.1963050727
74	0.1951721994
75	0.1941873968
76	0.1932573134
77	0.1922868247
78	0.1912952266
79	0.1903934548
80	0.1894997973
81	0.1885331525
82	0.1875062421
83	0.1866199339
84	0.1856988747
85	0.184742144
86	0.1839978408
87	0.1831018983
88	0.1822230862
89	0.1814416825
90	0.1806372294
91	0.1797506594
92	0.179014772
93	0.1783569522
94	0.1775545652
95	0.1767748769
96	0.1759762913
97	0.175198324
98	0.1744417357
99	0.173721601
100	0.1730099668
101	0.1723761272
102	0.1716425843
103	0.1709282491
104	0.1702596057
105	0.1695360357
106	0.1688601096
107	0.1681612403
108	0.1675123654
109	0.1668765266
110	0.1662027306
111	0.1654993918
112	0.1650347274
113	0.1644705516
114	0.163856064
115	0.1632775298
116	0.1627339572
117	0.1621579861
118	0.1615941695
119	0.1610225002
120	0.1604627904
121	0.1599397244
122	0.1594035186
123	0.1589135161
124	0.1583685327
125	0.1578090477
126	0.1571968075
127	0.1567080589
128	0.1562029339
129	0.1556748464
130	0.1551110911
131	0.1545934625
132	0.1541002123
133	0.1535940487
134	0.1530979159
135	0.1526659164
136	0.1521745799
137	0.151768507
138	0.1513850627
139	0.1509666679
140	0.1504913174
141	0.1499875384
142	0.1495748786
143	0.1491635181
144	0.1488161812
145	0.1483929881
146	0.147992998
147	0.1476046693
148	0.1472116213
149	0.1468206466
150	0.1465384439
151	0.146167222
152	0.145847185
153	0.1454974843
154	0.1452238984
155	0.1448690541
156	0.144448942
157	0.1440787171
158	0.1438012943
159	0.1434677365
160	0.1431555967
161	0.1428233138
162	0.1425125598
163	0.1422189352
164	0.1419202869
165	0.1416008735
166	0.1412860489
167	0.1410223021
168	0.1407415865
169	0.1404319939
170	0.1401319384
171	0.139826005
172	0.1395515535
173	0.139240595
174	0.1389502326
175	0.1386891075
176	0.1384055661
177	0.138144799
178	0.1378505641
179	0.1376102004
180	0.1373382893
181	0.137106594
182	0.1368647051
183	0.1366222797
184	0.1363505268
185	0.1361009879
186	0.1358891793
187	0.1356485944
188	0.1354223639
189	0.1352076895
190	0.1349851803
191	0.134786507
192	0.1345185439
193	0.1343282062
194	0.134122864
195	0.1339112357
196	0.1337359101
197	0.1335547328
198	0.1333215133
199	0.1331133793
200	0.1329964752
201	0.1327942133
202	0.1325898051
203	0.1323356399
204	0.132155424
205	0.1319796768
206	0.1317988562
207	0.1316525381
208	0.1314671015
209	0.1313229285
210	0.1311620186
211	0.130982356
212	0.1308146643
213	0.1306415045
214	0.130481992
215	0.1303473895
216	0.1301891133
217	0.1300348046
218	0.1298685161
219	0.1297100611
220	0.1295606827
221	0.1293713282
222	0.1292209542
223	0.1290599578
224	0.1289072796
225	0.1287680986
226	0.1286338579
227	0.1284914753
228	0.1283030587
229	0.1281496557
230	0.1279906203
231	0.1278763105
232	0.1277491929
233	0.1276121489
234	0.1274665251
235	0.1273194795
236	0.1271779236
237	0.1270471081
238	0.1268940397
239	0.1267844652
240	0.1266368552
241	0.1265268948
242	0.1264039869
243	0.1262570607
244	0.1261388664
245	0.126048974
246	0.125917987
247	0.1258031434
248	0.1256837133
249	0.1255590497
250	0.1254464989
251	0.1253644079
252	0.1252710697
253	0.1251455652
254	0.1250379528
255	0.1249053237
256	0.1247991345
257	0.1246629176
258	0.1245743367
259	0.1244787229
260	0.1244033332
261	0.1242936679
262	0.1241870577
263	0.1240653289
264	0.1239389733
265	0.1238344317
266	0.1237170001
267	0.123628844
268	0.12350118
269	0.1233937956
270	0.1233025851
271	0.1232040187
272	0.1231044386
273	0.1229686629
274	0.1228538918
275	0.1227333517
276	0.1226126683
277	0.1224811742
278	0.1224028476
279	0.1223038749
280	0.1222063746
281	0.1220987713
282	0.122022834
283	0.1219014323
284	0.1218114489
285	0.1216881577
286	0.1216111898
287	0.1215203658
288	0.1214064555
289	0.1213363993
290	0.1212217371
291	0.12110165
292	0.1210209955
293	0.1209512175
294	0.1208673728
295	0.1207879685
296	0.120722007
297	0.1206191615
298	0.1205271962
299	0.1204338371
300	0.1203425974
301	0.1202631727
302	0.120174446
303	0.1200581127
304	0.1199879936
305	0.1199316672
306	0.119835976
307	0.1197456051
308	0.1196867424
309	0.1196188387
310	0.1195629655
311	0.1194798538
312	0.1193982157
313	0.119303596
314	0.1191928792
315	0.1191290139
316	0.1190345142
317	0.1189444863
318	0.118881713
319	0.1188117699
320	0.1187819644
321	0.118691862
322	0.1185993394
323	0.1185294704
324	0.118480667
325	0.1183832394
326	0.1183263137
327	0.1182277882
328	0.1181758214
329	0.1180882221
330	0.1180333936
331	0.1179515008
332	0.1178539508
333	0.117817403
334	0.1177543213
335	0.1177018883
336	0.1176179929
337	0.1175305796
338	0.1174896505
339	0.117395369
340	0.1173307066
341	0.117263949
342	0.1172046021
343	0.1171278166
344	0.11703028
345	0.1169223469
346	0.1168502412
347	0.1167455538
348	0.116682388
349	0.1166465159
350	0.1166058821
351	0.1165124696
352	0.116460778
353	0.1163852719
354	0.1163440741
355	0.1162909923
356	0.1162269393
357	0.1161711261
358	0.1161123575
359	0.1160540927
360	0.1159784714
361	0.1159233928
362	0.1158468861
363	0.1158041545
364	0.1157274104
365	0.1156639416
366	0.1156246153
367	0.1155735626
368	0.1155379269
369	0.115477509
370	0.11540922
371	0.1153356976
372	0.1152814657
373	0.1152395981
374	0.1151825354
375	0.115140726
376	0.1151149003
377	0.1150523152
378	0.115019743
379	0.1149508192
380	0.1148989985
381	0.1148438687
382	0.1147954591
383	0.1147449224
384	0.114699199
385	0.1146162768
386	0.1145518092
387	0.1145048878
388	0.1144252322
389	0.1143724011
390	0.1143209629
391	0.114280712
392	0.1141846612
393	0.1141029682
394	0.11403031
395	0.1139452682
396	0.1138870298
397	0.1138462086
398	0.1137473749
399	0.1137166291
400	0.1136415353
401	0.1136164221
402	0.1135619138
403	0.1135181745
404	0.1134594754
405	0.1134316572
406	0.1133847161
407	0.1133088976
408	0.1132482942
409	0.1132215998
410	0.1131908107
411	0.1131098394
412	0.1130374816
413	0.112983165
414	0.1129147911
415	0.1128621521
416	0.1128082503
417	0.1127584826
418	0.1127210742
419	0.1126720486
420	0.1126280517
421	0.1125504782
422	0.1125189725
423	0.112458591
424	0.1124002554
425	0.1123178729
426	0.1122642558
427	0.1121976428
428	0.1121409978
429	0.1120635238
430	0.1119857143
431	0.1119413364
432	0.1118876621
433	0.1118192047
434	0.1117572353
435	0.1116851566
436	0.1116396912
437	0.1115829242
438	0.1115082183
439	0.1115081893
440	0.111493447
441	0.1114563643
442	0.1114204855
443	0.1113808916
444	0.1113534659
445	0.11131408
446	0.1112740231
447	0.1112038076
448	0.1111521034
449	0.1110764084
450	0.1110277303
451	0.1109956339
452	0.1108885404
453	0.1108320522
454	0.1107552802
455	0.1107052447
456	0.1106641623
457	0.1106185174
458	0.1105679244
459	0.1105193148
460	0.1104907098
461	0.1104522881
462	0.110389527
463	0.1103474732
464	0.1102753742
465	0.1102005219
466	0.1101792757
467	0.1101499711
468	0.1100722497
469	0.1100276784
470	0.109990348
471	0.1099425091
472	0.1098780499
473	0.1098447434
474	0.1097841564
475	0.1097172361
476	0.1096803641
477	0.1096575541
478	0.1095696709
479	0.1095284619
480	0.1094651786
481	0.1094281498
482	0.1093997045
483	0.1093466033
484	0.1092935866
485	0.1092355472
486	0.109164386
487	0.1091227971
488	0.1090872941
489	0.1090225579
490	0.1090000933
491	0.1089520648
492	0.1088971917
493	0.1088398519
494	0.1088094497
495	0.1087854263
496	0.1087283053
497	0.1087078286
498	0.1086604364
499	0.1086092847
500	0.1085514374
501	0.1085003748
502	0.1084472357
503	0.1084324579
504	0.108391686
505	0.1083681451
506	0.1083413979
507	0.1082854045
508	0.1082395283
509	0.1082395098
510	0.108201126
511	0.1081008097
512	0.1080583264
513	0.1080138262
514	0.1079554456
515	0.1078895662
516	0.1078518241
517	0.1077973573
518	0.1077649122
519	0.1076802319
520	0.1076774152
521	0.107644679
522	0.1076203778
523	0.1075557735
524	0.1075291089
525	0.1074628559
526	0.1074312287
527	0.1073880984
528	0.1073453795
529	0.1072701468
530	0.1072369873
531	0.10714854
532	0.1070826339
533	0.1070252463
534	0.1069867855
535	0.1069520887
536	0.1069412298
537	0.106888615
538	0.1068602109
539	0.1068001525
540	0.106778766
541	0.1067432676
542	0.1066870632
543	0.1066344462
544	0.106612293
545	0.1065619985
546	0.1065280672
547	0.1064712638
548	0.1064365598
549	0.1063858314
550	0.10635062
551	0.106296353
552	0.1062431627
553	0.1061969635
554	0.1061601134
555	0.1061125233
556	0.1060628467
557	0.1060407454
558	0.1059371089
559	0.1059211297
560	0.105873691
561	0.1058388872
562	0.1057965902
563	0.1057580231
564	0.1057057924
565	0.1056750253
566	0.1056529513
567	0.1055946633
568	0.1055621101
569	0.10553371
570	0.1055206772
571	0.1055015875
572	0.10547509
573	0.1054309926
574	0.1053964079
575	0.1053506117
576	0.1053366319
577	0.1053150268
578	0.1052824835
579	0.1052435399
580	0.1052192323
581	0.1051853006
582	0.1051557305
583	0.1051195278
584	0.1050530476
585	0.1050194952
586	0.1049837678
587	0.1049611277
588	0.1049047018
589	0.1048324121
590	0.1048113276
591	0.1047653851
592	0.1047223705
593	0.104684552
594	0.104642736
595	0.1046168975
596	0.1045744558
597	0.1045235569
598	0.1045102227
599	0.1044653607
600	0.1044533459
601	0.1044292786
602	0.1044020704
603	0.1043667731
604	0.1043487061
605	0.1042704636
606	0.1042219238
607	0.1041696559
608	0.1041125345
609	0.1040958615
610	0.1040612562
611	0.1040396381
612	0.1039768584
613	0.1039247808
614	0.1039182148
615	0.1038920538
616	0.1038391773
617	0.1038125937
618	0.103754731
619	0.103725524
620	0.1037010468
621	0.1036477166
622	0.1036213527
623	0.1035862975
624	0.1035555798
625	0.1035246013
626	0.1034860574
627	0.1034516162
628	0.1034367329
629	0.1034208367
630	0.1033509693
631	0.103304341
632	0.103265727
633	0.1032383864
634	0.103176746
635	0.1031488258
636	0.1030971136
637	0.103073437
638	0.1030564073
639	0.1030480105
640	0.1030152912
641	0.1029867902
642	0.1029582572
643	0.1029281754
644	0.1028860973
645	0.1028573497
646	0.1028253781
647	0.1027904477
648	0.1027393702
649	0.1026985238
650	0.1026623407
651	0.1026285079
652	0.1025894637
653	0.1025162073
654	0.102469146
655	0.1024544958
656	0.1024167662
657	0.1023788963
658	0.1023236979
659	0.1022858726
660	0.1022576485
661	0.1021860996
