iter	Passed	Remaining
0	40	40381
1	85	42628
2	126	42147
3	163	40614
4	220	43852
5	281	46573
6	340	48271
7	392	48704
8	453	49959
9	507	50193
10	569	51197
11	612	50464
12	656	49845
13	686	48335
14	737	48428
15	785	48330
16	835	48335
17	876	47827
18	905	46746
19	934	45811
20	981	45768
21	1043	46402
22	1099	46689
23	1162	47258
24	1221	47642
25	1265	47425
26	1329	47917
27	1374	47701
28	1423	47660
29	1463	47322
30	1505	47067
31	1540	46613
32	1580	46303
33	1614	45860
34	1656	45667
35	1704	45630
36	1761	45838
37	1802	45635
38	1861	45873
39	1917	46016
40	1973	46172
41	2016	46004
42	2061	45874
43	2098	45597
44	2145	45530
45	2206	45750
46	2275	46130
47	2329	46209
48	2396	46520
49	2455	46649
50	2510	46716
51	2575	46962
52	2636	47116
53	2690	47140
54	2749	47239
55	2796	47141
56	2851	47171
57	2900	47107
58	2953	47107
59	3004	47066
60	3049	46943
61	3103	46957
62	3161	47019
63	3215	47031
64	3270	47051
65	3329	47112
66	3382	47107
67	3433	47052
68	3494	47150
69	3557	47270
70	3623	47412
71	3657	47140
72	3690	46866
73	3723	46598
74	3766	46457
75	3822	46476
76	3878	46492
77	3918	46323
78	3960	46177
79	3996	45961
80	4051	45966
81	4095	45847
82	4149	45841
83	4188	45670
84	4229	45526
85	4262	45305
86	4309	45219
87	4345	45032
88	4380	44834
89	4411	44606
90	4449	44446
91	4481	44225
92	4512	44009
93	4548	43835
94	4590	43735
95	4626	43563
96	4664	43420
97	4694	43209
98	4729	43046
99	4770	42936
100	4807	42787
101	4843	42643
102	4889	42581
103	4922	42411
104	4955	42240
105	4986	42058
106	5034	42017
107	5075	41920
108	5124	41886
109	5163	41773
110	5208	41718
111	5242	41567
112	5280	41446
113	5321	41361
114	5385	41446
115	5423	41329
116	5462	41225
117	5496	41083
118	5538	41003
119	5580	40921
120	5620	40832
121	5656	40706
122	5693	40595
123	5737	40532
124	5783	40486
125	5824	40400
126	5869	40346
127	5918	40319
128	5958	40233
129	5999	40149
130	6056	40174
131	6107	40161
132	6165	40193
133	6204	40097
134	6242	39996
135	6272	39845
136	6307	39733
137	6338	39590
138	6370	39457
139	6405	39346
140	6441	39242
141	6476	39131
142	6511	39021
143	6550	38939
144	6588	38849
145	6624	38749
146	6661	38654
147	6700	38572
148	6742	38512
149	6776	38398
150	6810	38294
151	6845	38192
152	6883	38106
153	6915	37988
154	6948	37880
155	6981	37773
156	7011	37650
157	7045	37543
158	7079	37443
159	7111	37334
160	7152	37274
161	7189	37190
162	7229	37124
163	7256	36988
164	7290	36893
165	7323	36794
166	7360	36715
167	7389	36596
168	7425	36514
169	7467	36461
170	7516	36440
171	7574	36462
172	7625	36453
173	7672	36421
174	7732	36451
175	7785	36450
176	7833	36424
177	7879	36389
178	7919	36323
179	7963	36279
180	8001	36205
181	8047	36170
182	8091	36125
183	8130	36057
184	8167	35981
185	8209	35926
186	8247	35857
187	8276	35748
188	8318	35693
189	8362	35652
190	8396	35562
191	8432	35485
192	8464	35395
193	8497	35304
194	8538	35249
195	8574	35173
196	8620	35138
197	8670	35119
198	8712	35067
199	8740	34961
200	8774	34881
201	8806	34788
202	8850	34747
203	8886	34673
204	8924	34607
205	8963	34546
206	9007	34508
207	9040	34424
208	9077	34357
209	9121	34314
210	9166	34277
211	9203	34208
212	9248	34171
213	9292	34128
214	9321	34033
215	9352	33946
216	9388	33875
217	9428	33821
218	9464	33752
219	9499	33680
220	9545	33646
221	9578	33566
222	9611	33490
223	9647	33420
224	9699	33410
225	9743	33368
226	9778	33297
227	9810	33218
228	9843	33140
229	9877	33069
230	9909	32990
231	9939	32903
232	9971	32823
233	10006	32756
234	10035	32668
235	10069	32598
236	10105	32533
237	10143	32477
238	10180	32414
239	10213	32344
240	10248	32275
241	10278	32195
242	10317	32140
243	10355	32085
244	10389	32015
245	10424	31951
246	10461	31893
247	10495	31825
248	10531	31763
249	10571	31715
250	10617	31683
251	10649	31609
252	10681	31538
253	10717	31476
254	10760	31436
255	10806	31405
256	10856	31387
257	10899	31347
258	10946	31318
259	10982	31258
260	11021	31206
261	11065	31170
262	11111	31138
263	11149	31083
264	11184	31022
265	11230	30988
266	11261	30915
267	11291	30841
268	11324	30773
269	11358	30709
270	11393	30649
271	11428	30588
272	11457	30510
273	11487	30437
274	11517	30364
275	11547	30292
276	11584	30235
277	11629	30203
278	11675	30172
279	11712	30117
280	11750	30066
281	11783	30002
282	11822	29952
283	11857	29894
284	11889	29828
285	11930	29783
286	11962	29719
287	11995	29655
288	12024	29582
289	12059	29524
290	12100	29482
291	12135	29425
292	12179	29389
293	12229	29368
294	12267	29316
295	12316	29292
296	12349	29231
297	12389	29186
298	12421	29121
299	12450	29051
300	12485	28995
301	12529	28958
302	12577	28932
303	12623	28901
304	12664	28858
305	12698	28799
306	12730	28736
307	12761	28672
308	12793	28608
309	12825	28547
310	12858	28486
311	12889	28423
312	12923	28365
313	12958	28310
314	12984	28236
315	13016	28175
316	13060	28140
317	13109	28115
318	13148	28069
319	13186	28021
320	13221	27966
321	13252	27904
322	13287	27850
323	13323	27798
324	13356	27739
325	13403	27711
326	13436	27654
327	13471	27599
328	13502	27539
329	13539	27489
330	13571	27431
331	13610	27385
332	13653	27348
333	13685	27289
334	13721	27238
335	13758	27190
336	13788	27127
337	13823	27073
338	13851	27007
339	13890	26963
