iter	Passed	Remaining
0	2	2962
1	5	2814
2	8	2775
3	11	2767
4	13	2769
5	16	2785
6	19	2816
7	22	2793
8	25	2764
9	27	2749
10	30	2743
11	33	2731
12	36	2738
13	38	2731
14	41	2723
15	44	2717
16	46	2713
17	49	2706
18	52	2700
19	55	2700
20	57	2692
21	60	2689
22	63	2683
23	65	2680
24	68	2676
25	71	2674
26	74	2668
27	76	2662
28	79	2655
29	82	2659
30	85	2659
31	87	2655
32	90	2651
33	93	2656
34	96	2653
35	99	2656
36	102	2656
37	104	2654
38	107	2656
39	111	2687
40	115	2690
41	117	2690
42	120	2690
43	123	2690
44	126	2692
45	129	2690
46	132	2689
47	135	2687
48	138	2689
49	141	2690
50	144	2696
51	147	2698
52	151	2700
53	154	2700
54	157	2700
55	160	2699
56	163	2697
57	165	2696
58	168	2694
59	171	2691
60	174	2690
61	177	2688
62	180	2687
63	183	2685
64	186	2682
65	189	2682
66	193	2689
67	196	2691
68	199	2691
69	202	2691
70	205	2690
71	208	2688
72	211	2686
73	214	2682
74	217	2678
75	220	2675
76	222	2671
77	225	2668
78	228	2664
79	231	2660
80	233	2654
81	236	2650
82	239	2645
83	242	2644
84	245	2640
85	247	2635
86	250	2630
87	253	2625
88	256	2621
89	258	2616
90	261	2612
91	264	2607
92	266	2603
93	269	2599
94	272	2595
95	275	2590
96	277	2587
97	280	2584
98	283	2581
99	286	2577
100	289	2574
101	291	2570
102	294	2566
103	297	2562
104	300	2559
105	303	2555
106	306	2554
107	309	2552
108	311	2548
109	314	2544
110	317	2540
111	320	2537
112	322	2534
113	325	2531
114	328	2527
115	331	2524
116	334	2522
117	337	2521
118	340	2521
119	343	2521
120	347	2522
121	350	2523
122	353	2523
123	357	2523
124	360	2523
125	363	2524
126	367	2523
127	370	2521
128	373	2521
129	376	2520
130	379	2519
131	382	2518
132	386	2516
133	389	2514
134	392	2513
135	395	2512
136	398	2510
137	401	2508
138	404	2505
139	407	2503
140	410	2500
141	413	2496
142	415	2493
143	418	2489
144	421	2485
145	424	2482
146	427	2477
147	429	2473
148	432	2469
149	435	2465
150	437	2462
151	440	2458
152	443	2455
153	446	2452
154	449	2448
155	451	2444
156	454	2440
157	457	2436
158	460	2433
159	462	2430
160	465	2427
161	468	2425
162	472	2424
163	475	2421
164	478	2419
165	480	2416
166	483	2413
167	486	2410
168	489	2407
169	492	2405
170	495	2402
171	498	2398
172	501	2396
173	504	2393
174	507	2390
175	509	2387
176	512	2383
177	515	2380
178	518	2377
179	521	2374
180	524	2371
181	526	2367
182	529	2364
183	532	2360
184	535	2359
185	539	2359
186	542	2357
187	545	2354
188	548	2352
189	551	2349
190	553	2346
191	558	2350
192	561	2347
193	564	2344
194	566	2340
195	570	2338
196	572	2334
197	575	2331
198	578	2327
199	581	2324
200	584	2322
201	587	2319
202	589	2316
203	592	2313
204	595	2310
205	598	2308
206	602	2306
207	605	2306
